"COMPANY_NAME"	"IS_DEALER"	"ACCOUNT_CODE"	"POSTAL_ADDRESS"	"STATEMENT_EMAIL"	"STATEMENT_FAX"	"STATEMENT_DELIVERY"	"COMMISSION"	"DAYS_TO_PAY"	"M_CURRENCY"	"LAST_CLOSE_BALANCE"	"LAST_CLOSE_CURRENCY"	"LAST_CLOSE_MONTH"	"COMMISSION_BUDGETLINER"	"COMMISSION_SLEEPLINER"	"CONTROLLER"	"COUNTRY"	"EXPORT_DEBTORS"	"IS_CURRENT"	"VAT_NUMBER"	"DEBTOR_TYPE"	"BILLING_PERIOD"	"STATEMENT_DETAILS"	"ACC_CONTACT_PERSON"	"DATE_CREATED"	"RELATED_PARTY"	"LAST_UPDATED"	"LAST_SYNC"	"SAGE_SITE"	"CC_ACCOUNT_NO"	"COMMISSION_BAGGAGE"	"INV_CUTOFF"	"TERMS"	"CREDIT_LIMIT"	"PAYMENT_DATE"	"CUTOFF_DAY"	"PAYMENT_DAY"	"NORMAL_LIMIT_APPROVED_BY"	"SPECIAL_CREDIT_LIMIT"	"SPECIAL_LIMIT_APPROVED_BY"	"SPECIAL_LIMIT_EXPIRY_DATE"	"SHOPPING_BASKET_RESTRICTION"	"STATEMENT_REMINDER"
"Harvey World Travel Rondebosch"	"Y"	"1143"	""	""	""	"N"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Tripos Travel Rondebosch"	"Y"	"1145"	"PO Box 32
2nd Floor, Ebden House, Belmont Park, Belmont Rd
Rondebosch
7701"	""	"(021) 686 6821"	"N"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Aris Travel"	"Y"	"1151"	""	""	""	"N"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Flight Specials (M)"	"Y"	"1155"	"PO Box 1582
Marsh Street 44
Mossel Bay
6500  tel:0446954113
Please note: Lady that will be working with your account from now on: Susan Botes, 021 380 4455 ,debtors@intercape.co.za"	"karle@flightspecial.co.za"	"(044) 691 1977"	"E"	11		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""	29/JUL/05	"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"HWT Ontdekkers"	"Y"	"1157"	"PO Box 7014
309 Ontdekkersweg, Ontdekkerspark
Westgate
Roodepoort
1734"	"leon.smith@harveyworld.co.za"	"(011) 760 2223"	"E"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Carletonville Sure Travel"	"Y"	"1164"	""	""	""	""	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Willards Travel"	"Y"	"1168"	"PO Box 1088
91A Alexandra Road
King Williams Town
5600
Tel 0436421588
accounts.willards@galileosa.co.za"	"monica@willardstravel.co.za"	"(043) 643 3910"	"E"	12		"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"4870109651"	"B"	"W"	"N"	""	06/MAR/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Shelford Travel"	"Y"	"1169"	""	""	""	""	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Cathcart Royal Hotel"	"Y"	"1173"	""	""	""	""	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Travel with Us"	"Y"	"1177"	"PO Box 11436
227A  Boom Street
Dorpsruit
Pietermartizburg
3206
johanb.travelwithus@galileosa.co.za"	""	"(033) 394 4517"	"N"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	11/JAN/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Terra Travel Cape"	"Y"	"1180"	""	""	""	"N"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Astral Travel"	"Y"	"1181"	"PO Box 902
Victoria Junction26 ,Gate 4,Prestwich str.  Prestwich str.
8051"	"astral3.astral@galileosa.co.za"	"(021) 425 3471"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Lets Travel"	"Y"	"1184"	""	"patb.letstravel@galileosa.co.za"	""	"E"	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Mundial Travel"	"Y"	"1189"	"Shop 3,Plattekloof Centre,Olienhout Str
Plattekloof
7500"	"corae.mundial@galileosa.co.za"	"(021) 911 1023"	"N"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Welwitschia Travel (W)"	"Y"	"1195"	""	"BiancaL.welwitschia@galileosa.co.za"	""	"E"	10	7	"Namibia Dollar"		""		0	0	"B"	"N"	"Y"	"Y"	""	"B"	"W"	"N"	""	01/DEC/05	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Udomo Travel"	"Y"	"1197"	"tofeeqh.udomo@galileosa.co.za"	""	""	"N"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Travel Bereau Bleeker"	"Y"	"1204"	"PO Box 3514
1st Floor, 9 Saint Davids Place, Parktown
Johannesburg
2000
Please note: Lady that will be working with your account from now on: Susan Botes, 021 380 4455 ,debtors@intercape.co.za"	"gladys.sithebe@bleeker.co.za"	"011 484 2931"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	20/OCT/05	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Crescendo Travel"	"Y"	"1205"	""	""	""	""	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Tropical Air Tours"	"Y"	"1210"	"2308
24 Julho Ave., No 909, Maputo
Maputo"	"tropical@tvcabo.co.mz"	"258 2(1) 425 082"	"E"	0	7	"Mozambique Metical"		""		0	0	"A"	"M"	"Y"	"Y"	""	"B"	"W"	"N"	""	02/APR/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Jikeleza Lodge (W)"	"Y"	"1217"	"PO Box 12609
44 Cuyler Street
Centrahil
Port Tel 0415863721"	"info@highwinds.co.za"	"(041) 585 6686"	"E"	10	7	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"NOT REGISTERED"	"B"	"W"	"N"	""	04/JAN/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Ottery School of Industries"	"Y"	"1226"	"Private Bag X4
Plantation Rd
Ottery
7808"	"otteryschool@mweb.co.za"	"(021) 73 7790"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Kloof Travel"	"Y"	"1227"	""	""	""	""	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Rennies Travel Braamfontein"	"Y"	"1231"	"PO Box 31641
10th Floor Safren House,19 Ameshoff Str
Braamfontein
2017


"	"helen.shapiro@renniestravel.com"	"(011) 403 2553"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	29/SEP/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Flight Specials Welkom (M)"	"Y"	"1246"	"PO Box 30547
Stateway 377,Doorn
Welkom
9459
Please note: Lady that will be working with your account from now on: Susan Botes, 021 380 4455 ,debtors@intercape.co.za"	"angie@flightspecials.co.za"	"(057) 353 3645"	"E"	10	30	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"4600226346"	"B"	"M"	"N"	""	01/NOV/05	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"HWT Stellenbosch"	"Y"	"1249"	"PO Box 12134
Shop 4, Die boord Centre
Stellenbosch
7613
MYNHARD 0834533438
Tel 021 8871311"	"pieter.nel@harveyworld.co.za"	"(021) 887 1310"	"f"	12	7	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	04/SEP/08	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Waterwiel Hotel en Lodge"	"Y"	"1250"	""	"babsievdm@lantic.net"	""	"E"	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Meyerton Travel"	"Y"	"1255"	""	"esnele.meyertontravel@galileosa.co.za"	""	"N"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Struwig Motors"	"Y"	"1261"	"PO Box 662
24 Voortrekker Street
Cradock
5880
struwig@eastcape.net"	""	"(048) 881 1108"	"N"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Somerset East Tourism"	"Y"	"1266"	""	""	""	"N"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	28/FEB/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"African Link Travel"	"Y"	"1271"	""	"africanlink@galileosa.co.za"	""	"E"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Conway Travel"	"Y"	"1273"	""	""	""	""	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Tickets for Africa (W)"	"Y"	"1275"	"PO Box 1976
121 Bultfonteinroad, New Park
Kimberley
8300
Tel:053-832 6040 /3/5
0538316681
Ronel 0846024916
NB! THANK YOU FOR YOUR PROMPT PAYMENT NB!"	"tickets4africa@hotmail.com"	"(053) 831 8248"	"F"	10	7	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"4510185277"	"B"	"W"	"Y"	""	24/OCT/05	"N"	19/MAR/19	13/AUG/19	"IFM01"	"1275"	20	""			""				0			"N"	"Y"
"Kings Beach Backpackers"	"Y"	"1277"	"41 Windemere Rd., Humewood
Port Elizabeth
6001"	"kingsb@agnet.co.za"	" (041) 5851693"	"E"	10		"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"NOT REGISTERED"	"B"	"W"	"Y"	""	09/MAR/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Comercial Management Trust"	"Y"	"1284"	""	""	""	""	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Cheetah Coaches (M)"	"Y"	"1287"	"cheetahtravel@mweb.co.za
Suite 48, Private Bag x501, Luxmi
Shop 27, Northway Mall, Royston RD
Pietermaritzburg
3207
TEL 0333874440"	"ticketexpress@powerbrokers.co.za"	"(033)397 1063"	"E"	12	30	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"NOT REGISTERED"	"B"	"M"	"N"	""	19/OCT/05	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Embassy Guesthouse"	"Y"	"1288"	"PO Box 2151
257 Jacob Mare Str,
Pretoria
0001"	"hostel@absamail.co.za"	"(012) 322 4816"	"N"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Anchor Travel"	"Y"	"1290"	"PO Box 231, Winkelspruit
6 Stapplane,Amanzimtoti
Kwazulu Natal
4145
Please note: Lady that will be working with your account from now on: Susan Botes, 021 380 4455 ,debtors@intercape.co.za"	""	"0319035930"	"f"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	03/JAN/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Allans Safaris"	"Y"	"1292"	""	""	""	""	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Ritz Tours"	"Y"	"1301"	""	""	""	""	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Aardvark Travel Centre"	"Y"	"1303"	"varks@mweb.co.za"	"varks@mweb.co.za"	""	"N"	10		"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	03/JAN/06	"N"	05/MAY/15	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"ACT Travel"	"Y"	"1306"	""	"karenc@qv.co.za"	""	"N"	12		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Tekweni Travel Info Centre (W)"	"Y"	"1307"	"Tekweni Travel Info Centre
Posnet Suit
Private Bag 504
Northway
4065
Please note: Lady that will be working with your account from now on: Susan Botes, 021 380 4455 ,debtors@intercape.co.za"	"patrick@tekwenibackpackers.co.za"	"(031) 303 4369"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	14/OCT/05	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Nomad Adventure Tours"	"Y"	"1308"	"204  Long street
Cape Town
204"	"nomad@nomadtours.co.za"	"(021) 426 4338"	"E"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"SAACC Maseru Travel (W)"	"Y"	"1311"	"PO Box 294
Maseru Brook Center Building,Kingsway 
Maseru
Lesotho
100 
Please note: Lady that will be working with your account from now on: Susan Botes, 021 380 4455 ,debtors@intercape.co.za"	"mampek.maserutravel@galileosa.co.za"	"00266 22 310 150"	"E"	12	30	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"1001986/0"	"B"	"M"	"N"	"011 4517310"	01/JUL/05	"N"	27/JUL/16	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Homenet Moore & Gardner"	"Y"	"1312"	""	"ian_homenet@border.co.za"	""	"E"	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Aloe Travel"	"Y"	"1318"	""	""	""	""	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	11/JUN/13	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Jet International Travel"	"Y"	"1320"	"PO Box 3565
5th Floor, Fedsure Place, 9 Gardner Street
Durban
4000
karenb@jetint.co.za"	""	"(031) 266 2661"	"N"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	06/JAN/09	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Fares Fair Travel Junction"	"Y"	"1321"	""	""	""	""	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Out of Africa Safaris (W)"	"Y"	"1324"	"Out of Africa Safaris
P.O. Box 1293
Milnerton 
7435"	"info@outofafricasafaris.co.za"	"0829353351 (cell)"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4570189052"	"B"	"W"	"N"	""	01/FEB/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Bon Voyage Travel"	"Y"	"1326"	""	""	""	""	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"HWT Fish Hoek"	"Y"	"1336"	""	"debtors2@intercape.co.za"	""	"E"	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"St Johns Lodge"	"Y"	"1338"	""	"accounts@intercape.co.za"	""	"E"	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Iceberg Travel"	"Y"	"1341"	"PO Box 5148
Shop no 3, Naledi Mall, Mampoi Road 
Phuthaditzhaba
9866
iceberg@ohs.dorea.co.za"	""	"(058) 713 4076"	"N"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Care Free Holidays"	"Y"	"1342"	""	"violetk.carefreeholidays@galileosa.co.za"	""	"E"	10		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
